Batter,MATCHES,INNS,RUNS,4s
Michael Hussey,17,17,733,81
Virat Kohli,16,16,634,64
Rahul Dravid,18,17,471,64
Shane Watson,16,16,543,59
Chris Gayle,16,16,708,57
Dinesh Karthik,19,19,510,54
Aaron Finch,14,14,456,54
Gautam Gambhir,16,16,407,51
Suresh Raina,18,17,548,50
Ajinkya Rahane,18,18,488,42
Robin Uthappa,16,16,434,42
David Warner,16,16,410,41
Virender Sehwag,13,13,295,41
Adam Gilchrist,13,13,294,41
Dwayne Smith,13,13,418,40
