PLAYER,MATCHES,INNS,RUNS,AVG,SR,4s,6s
Michael Hussey,17,17,733,52.36,129.51,81,17
Chris Gayle,16,16,708,59.00,156.29,57,51
Virat Kohli,16,16,634,45.29,138.73,64,22
Suresh Raina,18,17,548,42.15,150.14,50,18
Shane Watson,16,16,543,38.79,142.89,59,22
Rohit Sharma,19,19,538,38.43,131.54,35,28
Dinesh Karthik,19,19,510,28.33,124.09,54,14
Ajinkya Rahane,18,18,488,34.86,106.55,42,11
Rahul Dravid,18,17,471,29.44,110.82,64,5
MS Dhoni,18,16,461,41.91,162.90,32,25
Aaron Finch,14,14,456,32.57,135.71,54,16
Robin Uthappa,16,16,434,27.12,116.98,42,12
Kieron Pollard,18,18,420,42.00,149.47,27,29
David Miller,12,12,418,59.71,164.57,28,24
Dwayne Smith,13,13,418,32.15,122.58,40,19
