Batter,MATCHES,INNS,RUNS,Avg,NO
Vinay Kumar,16,5,70,70.00,4
David Miller,12,12,418,59.71,5
Chris Gayle,16,16,708,59.00,4
Michael Hussey,17,17,733,52.36,3
Virat Kohli,16,16,634,45.29,2
Suresh Raina,18,17,548,42.15,4
Kieron Pollard,18,18,420,42.00,8
MS Dhoni,18,16,461,41.91,5
Brad Hodge,17,14,293,41.86,7
Moises Henriques,10,9,165,41.25,5
Steven Smith,7,7,159,39.75,3
Shikhar Dhawan,10,10,311,38.88,2
Shane Watson,16,16,543,38.79,2
Rohit Sharma,19,19,538,38.43,5
Shaun Marsh,8,8,300,37.50,0
