Batter,RUNS,Balls,SR,Vs,4s,6s
Chris Gayle,175,66,265.15,Pune Warriors,13,17
David Miller,101,38,265.79,Royal Challengers Bengaluru,8,7
Shane Watson,101,61,165.57,Chennai Super Kings,6,6
Suresh Raina,100,53,188.68,Punjab Kings,7,6
Suresh Raina,99,52,190.38,Sunrisers Hyderabad,11,3
Virat Kohli,99,58,170.69,Delhi Capitals,10,4
Shane Watson,98,53,184.91,Sunrisers Hyderabad,13,4
Virender Sehwag,95,57,166.67,Mumbai Indians,13,2
Michael Hussey,95,59,161.02,Kolkata Knight Riders,11,2
Virat Kohli,93,47,197.87,Sunrisers Hyderabad,11,4
Chris Gayle,92,58,158.62,Mumbai Indians,11,5
Manvinder Bisla,92,61,150.82,Chennai Super Kings,14,2
Michael Hussey,88,51,172.55,Rajasthan Royals,13,1
Dinesh Karthik,86,48,179.17,Delhi Capitals,14,2
Michael Hussey,86,54,159.26,Punjab Kings,11,2
