Batter,MATCHES,INNS,RUNS,90s,50s,H.S
Kane Williamson,17,17,735,0,8,84
KL Rahul,14,14,659,2,6,95
AB de Villiers,12,11,480,1,6,90
Rishabh Pant,14,14,684,0,5,128
Jos Buttler,13,13,548,2,5,95
Virat Kohli,14,14,530,1,4,92
Suryakumar Yadav,14,14,512,0,4,72
Shikhar Dhawan,16,16,496,1,4,92
Suresh Raina,15,15,445,0,4,75
Shreyas Iyer,14,14,411,1,4,93
Ambati Rayudu,16,16,602,0,3,100
Chris Lynn,16,16,491,0,3,74
MS Dhoni,16,15,455,0,3,79
Sanju Samson,15,15,441,1,3,92
Chris Gayle,11,11,368,0,3,104
