Batter,MATCHES,INNS,RUNS,90s
KL Rahul,14,14,659,2
Jos Buttler,13,13,548,2
Virat Kohli,14,14,530,1
Shikhar Dhawan,16,16,496,1
AB de Villiers,12,11,480,1
Sanju Samson,15,15,441,1
Shreyas Iyer,14,14,411,1
Rohit Sharma,14,14,286,1
Jason Roy,5,5,120,1
