Batter,RUNS,Balls,SR,Vs,4s,6s
Rishabh Pant,128,63,203.17,Sunrisers Hyderabad,15,7
Shane Watson,117,57,205.26,Sunrisers Hyderabad,11,8
Shane Watson,106,57,185.96,Rajasthan Royals,9,6
Chris Gayle,104,63,165.08,Sunrisers Hyderabad,1,11
Ambati Rayudu,100,62,161.29,Sunrisers Hyderabad,7,7
Jos Buttler,95,60,158.33,Chennai Super Kings,11,2
KL Rahul,95,70,135.71,Rajasthan Royals,11,2
Rohit Sharma,94,52,180.77,Royal Challengers Bengaluru,10,5
Jos Buttler,94,53,177.36,Mumbai Indians,9,5
KL Rahul,94,60,156.67,Mumbai Indians,10,3
Shreyas Iyer,93,40,232.50,Kolkata Knight Riders,3,10
Sanju Samson,92,45,204.44,Royal Challengers Bengaluru,2,10
Shikhar Dhawan,92,50,184.00,Delhi Capitals,9,4
Virat Kohli,92,62,148.39,Mumbai Indians,7,4
Jason Roy,91,53,171.70,Mumbai Indians,6,6
