Batter,MATCHES,INNS,RUNS,Avg,NO
MS Dhoni,16,15,455,75.83,9
Abhishek Sharma,3,3,63,63.00,2
Harshal Patel,5,2,60,60.00,1
KL Rahul,14,14,659,54.92,2
Jos Buttler,13,13,548,54.80,3
AB de Villiers,12,11,480,53.33,2
Vijay Shankar,13,11,212,53.00,7
Rishabh Pant,14,14,684,52.62,1
Kane Williamson,17,17,735,52.50,3
Dinesh Karthik,16,16,498,49.80,6
Virat Kohli,14,14,530,48.18,3
Ambati Rayudu,16,16,602,43.00,2
Chris Gayle,11,11,368,40.89,2
Shane Watson,15,15,555,39.64,1
Shikhar Dhawan,16,16,496,38.15,3
