Batter,MATCHES,INNS,RUNS,Avg,SR
Krishnappa Gowtham,15,13,126,14.00,196.88
Abhishek Sharma,3,3,63,63.00,190.91
Rashid Khan,17,7,59,11.80,190.32
Sunil Narine,16,16,357,22.31,189.89
Andre Russell,16,14,316,28.73,184.80
Harshal Patel,5,2,60,60.00,181.82
AB de Villiers,12,11,480,53.33,174.55
Rishabh Pant,14,14,684,52.62,173.60
Deepak Chahar,12,4,50,16.67,172.41
Washington Sundar,7,6,65,21.67,171.05
Moeen Ali,5,4,77,19.25,167.39
Ben Cutting,9,6,96,24.00,165.52
KL Rahul,14,14,659,54.92,158.41
Carlos Brathwaite,4,4,75,25.00,156.25
Colin de Grandhomme,9,8,131,26.20,155.95
