PLAYER,MATCHES,INNS,RUNS,AVG,SR,4s,6s
Kane Williamson,17,17,735,52.50,142.44,63,28
Rishabh Pant,14,14,684,52.62,173.60,68,37
KL Rahul,14,14,659,54.92,158.41,66,32
Ambati Rayudu,16,16,602,43.00,149.75,53,34
Shane Watson,15,15,555,39.64,154.60,44,35
Jos Buttler,13,13,548,54.80,155.24,52,21
Virat Kohli,14,14,530,48.18,139.11,52,18
Suryakumar Yadav,14,14,512,36.57,133.33,61,16
Dinesh Karthik,16,16,498,49.80,147.77,49,16
Shikhar Dhawan,16,16,496,38.15,136.64,59,14
Chris Lynn,16,16,491,32.73,130.24,56,18
AB de Villiers,12,11,480,53.33,174.55,39,30
MS Dhoni,16,15,455,75.83,150.66,24,30
Suresh Raina,15,15,445,37.08,132.44,46,12
Sanju Samson,15,15,441,31.50,137.81,30,19
