Batter,MATCHES,INNS,RUNS,H.S,100s
Shane Watson,15,15,555,117,2
Rishabh Pant,14,14,684,128,1
Ambati Rayudu,16,16,602,100,1
Chris Gayle,11,11,368,104,1
