Batter,MATCHES,INNS,RUNS,6s
Rishabh Pant,14,14,684,37
Shane Watson,15,15,555,35
Ambati Rayudu,16,16,602,34
KL Rahul,14,14,659,32
Andre Russell,16,14,316,31
AB de Villiers,12,11,480,30
MS Dhoni,16,15,455,30
Kane Williamson,17,17,735,28
Chris Gayle,11,11,368,27
Evin Lewis,13,13,382,24
Sunil Narine,16,16,357,23
Jos Buttler,13,13,548,21
Shreyas Iyer,14,14,411,21
Robin Uthappa,16,16,351,21
Sanju Samson,15,15,441,19
