Batter,MATCHES,INNS,RUNS,Avg,SR
Sam Curran,9,4,56,18.67,193.10
Shimron Hetmyer,14,13,242,34.57,168.06
Pat Cummins,7,5,93,31.00,166.07
Evin Lewis,5,5,151,30.20,162.37
Prithvi Shaw,15,15,479,31.93,159.14
Jos Buttler,7,7,254,36.29,153.01
Andre Russell,10,9,183,26.14,152.50
Ambati Rayudu,16,13,257,28.56,151.18
Kieron Pollard,14,13,245,30.62,148.48
AB de Villiers,15,14,313,31.30,148.34
Yashasvi Jaiswal,10,10,249,24.90,148.21
Ravindra Jadeja,16,12,227,75.67,145.51
Glenn Maxwell,15,14,513,42.75,144.10
Suryakumar Yadav,14,14,317,22.64,143.44
Jonny Bairstow,7,7,248,41.33,141.71
