Batter,MATCHES,INNS,RUNS,6s
KL Rahul,13,13,626,30
Ruturaj Gaikwad,16,16,635,23
Faf du Plessis,16,16,633,23
Glenn Maxwell,15,14,513,21
Moeen Ali,15,15,357,19
Prithvi Shaw,15,15,479,18
Mayank Agarwal,12,12,441,18
Sanju Samson,14,14,484,17
Nitish Rana,17,16,383,17
Ambati Rayudu,16,13,257,17
Shikhar Dhawan,16,16,587,16
AB de Villiers,15,14,313,16
Kieron Pollard,14,13,245,16
Jonny Bairstow,7,7,248,15
Devdutt Padikkal,14,14,411,14
