Batter,MATCHES,INNS,RUNS,H.S,100s
Ruturaj Gaikwad,16,16,635,101,1
Sanju Samson,14,14,484,119,1
Devdutt Padikkal,14,14,411,101,1
Jos Buttler,7,7,254,124,1
