Batter,RUNS,Balls,SR,Vs,4s,6s
Jos Buttler,124,64,193.75,Sunrisers Hyderabad,11,8
Sanju Samson,119,63,188.89,Punjab Kings,12,7
Devdutt Padikkal,101,52,194.23,Rajasthan Royals,11,6
Ruturaj Gaikwad,101,60,168.33,Rajasthan Royals,9,5
Mayank Agarwal,99,58,170.69,Delhi Capitals,8,4
KL Rahul,98,42,233.33,Chennai Super Kings,7,8
Faf du Plessis,95,60,158.33,Kolkata Knight Riders,9,4
Shikhar Dhawan,92,49,187.76,Punjab Kings,13,2
KL Rahul,91,50,182.00,Rajasthan Royals,7,5
KL Rahul,91,57,159.65,Royal Challengers Bengaluru,7,5
Ruturaj Gaikwad,88,58,151.72,Mumbai Indians,9,4
Kieron Pollard,87,34,255.88,Chennai Super Kings,6,8
Faf du Plessis,86,59,145.76,Kolkata Knight Riders,7,3
Shikhar Dhawan,85,54,157.41,Chennai Super Kings,10,2
Ishan Kishan,84,32,262.50,Sunrisers Hyderabad,11,4
