PLAYER,MATCHES,INNS,RUNS,AVG,SR,4s,6s
Ruturaj Gaikwad,16,16,635,45.36,136.27,64,23
Faf du Plessis,16,16,633,45.21,138.21,60,23
KL Rahul,13,13,626,62.60,138.80,48,30
Shikhar Dhawan,16,16,587,39.13,124.63,63,16
Glenn Maxwell,15,14,513,42.75,144.10,48,21
Sanju Samson,14,14,484,40.33,136.72,45,17
Prithvi Shaw,15,15,479,31.93,159.14,56,18
Shubman Gill,17,17,478,28.12,118.91,50,12
Mayank Agarwal,12,12,441,40.09,140.45,42,18
Rishabh Pant,16,16,419,34.92,128.53,42,10
Devdutt Padikkal,14,14,411,31.62,125.30,44,14
Virat Kohli,15,15,405,28.93,119.47,43,9
Rahul Tripathi,17,16,397,28.36,140.28,41,11
Nitish Rana,17,16,383,29.46,121.97,34,17
Rohit Sharma,13,13,381,29.31,127.42,33,14
