Batter,MATCHES,INNS,RUNS,Avg,NO
Ravindra Jadeja,16,12,227,75.67,9
KL Rahul,13,13,626,62.60,3
Saurabh Tiwary,5,4,115,57.50,2
Manish Pandey,8,8,292,48.67,2
Ruturaj Gaikwad,16,16,635,45.36,2
Faf du Plessis,16,16,633,45.21,2
Kane Williamson,10,10,266,44.33,4
Glenn Maxwell,15,14,513,42.75,2
Jonny Bairstow,7,7,248,41.33,1
Venkatesh Iyer,10,10,370,41.11,1
Sanju Samson,14,14,484,40.33,2
Mayank Agarwal,12,12,441,40.09,1
Shikhar Dhawan,16,16,587,39.13,1
Srikar Bharat,8,7,191,38.20,2
Jos Buttler,7,7,254,36.29,0
