Batter,MATCHES,INNS,RUNS,90s,50s,H.S
Faf du Plessis,16,16,633,1,6,95
KL Rahul,13,13,626,3,6,98
Glenn Maxwell,15,14,513,0,6,78
Ruturaj Gaikwad,16,16,635,0,4,101
Prithvi Shaw,15,15,479,0,4,82
Mayank Agarwal,12,12,441,1,4,99
Venkatesh Iyer,10,10,370,0,4,67
Shikhar Dhawan,16,16,587,1,3,92
Shubman Gill,17,17,478,0,3,57
Rishabh Pant,16,16,419,0,3,58
Virat Kohli,15,15,405,0,3,72
Manish Pandey,8,8,292,0,3,69
Sanju Samson,14,14,484,0,2,119
Rahul Tripathi,17,16,397,0,2,74
Nitish Rana,17,16,383,0,2,80
