Batter,MATCHES,INNS,RUNS,90s
Shubman Gill,17,17,890,1
Devon Conway,16,15,672,1
Yashasvi Jaiswal,14,14,625,1
Ruturaj Gaikwad,16,15,590,1
Jos Buttler,14,14,392,1
Shikhar Dhawan,11,11,373,1
Sai Sudharsan,8,8,362,1
Liam Livingstone,9,9,279,1
