Batter,MATCHES,INNS,RUNS,Avg,NO
Vivrant Sharma,3,1,69,69.00,0
Shubman Gill,17,17,890,59.33,2
Rinku Singh,14,14,474,59.25,6
Faf du Plessis,14,14,730,56.15,1
Virat Kohli,14,14,639,53.25,2
Sai Sudharsan,8,8,362,51.71,1
Devon Conway,16,15,672,51.69,2
Cameron Green,16,16,452,50.22,7
Heinrich Klaasen,12,11,448,49.78,2
Yashasvi Jaiswal,14,14,625,48.08,1
Suryakumar Yadav,16,16,605,43.21,2
Tilak Varma,11,11,343,42.88,3
Abdul Samad,9,8,169,42.25,4
Ruturaj Gaikwad,16,15,590,42.14,1
Shikhar Dhawan,11,11,373,41.44,2
