Batter,MATCHES,INNS,RUNS,4s
Shubman Gill,17,17,890,85
Yashasvi Jaiswal,14,14,625,82
Devon Conway,16,15,672,77
David Warner,14,14,516,69
Virat Kohli,14,14,639,65
Suryakumar Yadav,16,16,605,65
Faf du Plessis,14,14,730,60
Ishan Kishan,16,15,454,54
Shikhar Dhawan,11,11,373,49
Wriddhiman Saha,17,17,371,47
Ruturaj Gaikwad,16,15,590,46
Jos Buttler,14,14,392,42
Cameron Green,16,16,452,40
Nitish Rana,14,14,413,39
Kyle Mayers,13,13,379,38
