Batter,MATCHES,INNS,RUNS,6s
Faf du Plessis,14,14,730,36
Shivam Dube,16,14,418,35
Shubman Gill,17,17,890,33
Glenn Maxwell,14,14,400,31
Ruturaj Gaikwad,16,15,590,30
Rinku Singh,14,14,474,29
Suryakumar Yadav,16,16,605,28
Marcus Stoinis,15,15,408,27
Yashasvi Jaiswal,14,14,625,26
Nicholas Pooran,15,15,358,26
Heinrich Klaasen,12,11,448,25
Sanju Samson,14,14,362,24
Tilak Varma,11,11,343,23
Shimron Hetmyer,14,13,299,23
Cameron Green,16,16,452,22
