Batter,MATCHES,INNS,RUNS,90s,50s,H.S
Faf du Plessis,14,14,730,0,8,84
Devon Conway,16,15,672,1,6,92
Virat Kohli,14,14,639,0,6,101
David Warner,14,14,516,0,6,86
Yashasvi Jaiswal,14,14,625,1,5,124
Suryakumar Yadav,16,16,605,0,5,103
Glenn Maxwell,14,14,400,0,5,77
Shubman Gill,17,17,890,1,4,129
Ruturaj Gaikwad,16,15,590,1,4,92
Rinku Singh,14,14,474,0,4,67
Jos Buttler,14,14,392,1,4,95
Kyle Mayers,13,13,379,0,4,73
Ishan Kishan,16,15,454,0,3,75
Shivam Dube,16,14,418,0,3,52
Nitish Rana,14,14,413,0,3,75
