PLAYER,MATCHES,INNS,RUNS,AVG,SR,4s,6s
Shubman Gill,17,17,890,59.33,157.80,85,33
Faf du Plessis,14,14,730,56.15,153.68,60,36
Devon Conway,16,15,672,51.69,139.71,77,18
Virat Kohli,14,14,639,53.25,139.82,65,16
Yashasvi Jaiswal,14,14,625,48.08,163.61,82,26
Suryakumar Yadav,16,16,605,43.21,181.14,65,28
Ruturaj Gaikwad,16,15,590,42.14,147.50,46,30
David Warner,14,14,516,36.86,131.63,69,10
Rinku Singh,14,14,474,59.25,149.53,31,29
Ishan Kishan,16,15,454,30.27,142.77,54,18
Cameron Green,16,16,452,50.22,160.28,40,22
Heinrich Klaasen,12,11,448,49.78,177.08,32,25
Shivam Dube,16,14,418,38.00,158.33,12,35
Nitish Rana,14,14,413,31.77,140.96,39,20
Marcus Stoinis,15,15,408,31.38,150.00,28,27
