Batter,RUNS,Balls,SR,Vs,4s,6s
Shubman Gill,129,60,215.00,Mumbai Indians,7,10
Yashasvi Jaiswal,124,62,200.00,Mumbai Indians,16,8
Venkatesh Iyer,104,51,203.92,Mumbai Indians,6,9
Heinrich Klaasen,104,51,203.92,Royal Challengers Bengaluru,8,6
Shubman Gill,104,52,200.00,Royal Challengers Bengaluru,5,8
Suryakumar Yadav,103,49,210.20,Gujarat Titans,11,6
Prabhsimran Singh,103,65,158.46,Delhi Capitals,10,6
Shubman Gill,101,58,174.14,Sunrisers Hyderabad,13,1
Virat Kohli,101,61,165.57,Gujarat Titans,13,1
Cameron Green,100,47,212.77,Sunrisers Hyderabad,8,8
Harry Brook,100,55,181.82,Kolkata Knight Riders,12,3
Virat Kohli,100,63,158.73,Sunrisers Hyderabad,12,4
Shikhar Dhawan,99,66,150.00,Sunrisers Hyderabad,12,5
Yashasvi Jaiswal,98,47,208.51,Kolkata Knight Riders,12,5
Sai Sudharsan,96,47,204.26,Chennai Super Kings,8,6
