Batter,MATCHES,INNS,RUNS,Avg,SR
Rashid Khan,17,9,130,32.50,216.67
Glenn Maxwell,14,14,400,33.33,183.49
MS Dhoni,16,12,104,26.00,182.46
Suryakumar Yadav,16,16,605,43.21,181.14
Heinrich Klaasen,12,11,448,49.78,177.08
Nicholas Pooran,15,15,358,29.83,172.95
Dhruv Jurel,13,11,152,21.71,172.73
Ajinkya Rahane,14,11,326,32.60,172.49
Shahrukh Khan,14,13,156,22.29,165.96
Krishnappa Gowtham,7,7,61,15.25,164.86
Tilak Varma,11,11,343,42.88,164.11
Philip Salt,9,9,218,27.25,163.91
Yashasvi Jaiswal,14,14,625,48.08,163.61
Liam Livingstone,9,9,279,34.88,163.16
Shardul Thakur,11,10,113,14.12,161.43
