Batter,MATCHES,INNS,RUNS,H.S,100s
Shubman Gill,17,17,890,129,3
Virat Kohli,14,14,639,101,2
Yashasvi Jaiswal,14,14,625,124,1
Suryakumar Yadav,16,16,605,103,1
Cameron Green,16,16,452,100,1
Heinrich Klaasen,12,11,448,104,1
Venkatesh Iyer,14,14,404,104,1
Prabhsimran Singh,14,14,358,103,1
Harry Brook,11,11,190,100,1
