Batter,MATCHES,INNS,RUNS,H.S,100s
Jos Buttler,11,11,359,107,2
Virat Kohli,15,15,741,113,1
Ruturaj Gaikwad,14,14,583,108,1
Travis Head,15,15,567,102,1
Sai Sudharsan,12,12,527,103,1
Sunil Narine,14,14,488,109,1
Yashasvi Jaiswal,15,15,435,104,1
Shubman Gill,12,12,426,104,1
Rohit Sharma,14,14,417,105,1
Marcus Stoinis,14,14,388,124,1
Suryakumar Yadav,11,11,345,102,1
Jonny Bairstow,11,11,298,108,1
Will Jacks,8,8,230,100,1
