Batter,MATCHES,INNS,RUNS,6s
Abhishek Sharma,16,16,484,42
Virat Kohli,15,15,741,38
Heinrich Klaasen,16,15,479,38
Nicholas Pooran,14,14,499,36
Riyan Parag,15,14,573,33
Sunil Narine,14,14,488,33
Rajat Patidar,15,13,395,33
Travis Head,15,15,567,32
Shivam Dube,14,14,396,28
Jake Fraser-McGurk,9,9,330,28
Tristan Stubbs,14,13,378,26
Rishabh Pant,13,13,446,25
Sanju Samson,15,15,531,24
Philip Salt,12,12,435,24
Rohit Sharma,14,14,417,23
