Batter,MATCHES,INNS,RUNS,90s,50s,H.S
Virat Kohli,15,15,741,1,5,113
Sanju Samson,15,15,531,0,5,86
Rajat Patidar,15,13,395,0,5,55
Ruturaj Gaikwad,14,14,583,1,4,108
Riyan Parag,15,14,573,0,4,84
Travis Head,15,15,567,0,4,102
KL Rahul,14,14,520,0,4,82
Heinrich Klaasen,16,15,479,0,4,80
Faf du Plessis,15,15,438,0,4,64
Philip Salt,12,12,435,0,4,89
Venkatesh Iyer,14,13,370,0,4,70
Jake Fraser-McGurk,9,9,330,0,4,84
Nicholas Pooran,14,14,499,0,3,75
Sunil Narine,14,14,488,0,3,109
Abhishek Sharma,16,16,484,0,3,75
