PLAYER,MATCHES,INNS,RUNS,AVG,SR,4s,6s
Virat Kohli,15,15,741,61.75,154.70,62,38
Ruturaj Gaikwad,14,14,583,53.00,141.16,58,18
Riyan Parag,15,14,573,52.09,149.22,40,33
Travis Head,15,15,567,40.50,191.55,64,32
Sanju Samson,15,15,531,48.27,153.47,48,24
Sai Sudharsan,12,12,527,47.91,141.29,48,16
KL Rahul,14,14,520,37.14,136.13,45,19
Nicholas Pooran,14,14,499,62.38,178.21,35,36
Sunil Narine,14,14,488,34.86,180.74,50,33
Abhishek Sharma,16,16,484,32.27,204.22,36,42
Heinrich Klaasen,16,15,479,39.92,171.07,19,38
Rishabh Pant,13,13,446,40.55,155.40,36,25
Faf du Plessis,15,15,438,29.20,161.62,47,21
Philip Salt,12,12,435,39.55,182.01,50,24
Yashasvi Jaiswal,15,15,435,31.07,155.91,54,16
