Batter,MATCHES,INNS,RUNS,Avg,NO
Nicholas Pooran,14,14,499,62.38,6
Virat Kohli,15,15,741,61.75,3
Tristan Stubbs,14,13,378,54.00,6
MS Dhoni,14,11,161,53.67,8
Ruturaj Gaikwad,14,14,583,53.00,3
Riyan Parag,15,14,573,52.09,3
Sanju Samson,15,15,531,48.27,4
Sai Sudharsan,12,12,527,47.91,1
Venkatesh Iyer,14,13,370,46.25,5
Ravindra Jadeja,14,11,267,44.50,5
Shashank Singh,14,14,354,44.25,6
Tilak Varma,13,13,416,41.60,3
Arshad Khan,4,4,83,41.50,2
Rishabh Pant,13,13,446,40.55,2
Travis Head,15,15,567,40.50,1
