Batter,MATCHES,INNS,RUNS,4s
Travis Head,15,15,567,64
Virat Kohli,15,15,741,62
Ruturaj Gaikwad,14,14,583,58
Yashasvi Jaiswal,15,15,435,54
Sunil Narine,14,14,488,50
Philip Salt,12,12,435,50
Sanju Samson,15,15,531,48
Sai Sudharsan,12,12,527,48
Faf du Plessis,15,15,438,47
KL Rahul,14,14,520,45
Rohit Sharma,14,14,417,45
Riyan Parag,15,14,573,40
Marcus Stoinis,14,14,388,39
Shubman Gill,12,12,426,37
Abhishek Sharma,16,16,484,36
