Batter,MATCHES,INNS,RUNS,Avg,SR
Romario Shepherd,6,5,57,28.50,271.43
Jake Fraser-McGurk,9,9,330,36.67,234.04
MS Dhoni,14,11,161,53.67,220.55
Abhishek Sharma,16,16,484,32.27,204.22
Ramandeep Singh,14,9,125,31.25,201.61
Travis Head,15,15,567,40.50,191.55
Tristan Stubbs,14,13,378,54.00,190.91
Dinesh Karthik,15,13,326,36.22,187.36
Andre Russell,14,9,222,31.71,185.00
Mahipal Lomror,10,10,125,15.62,183.82
Philip Salt,12,12,435,39.55,182.01
Rilee Rossouw,8,8,211,26.38,181.90
Sunil Narine,14,14,488,34.86,180.74
Nicholas Pooran,14,14,499,62.38,178.21
Naman Dhir,7,7,140,23.33,177.22
