Batter,RUNS,Balls,SR,Vs,4s,6s
Marcus Stoinis,124,63,196.83,Chennai Super Kings,13,6
Virat Kohli,113,72,156.94,Rajasthan Royals,12,4
Sunil Narine,109,56,194.64,Rajasthan Royals,13,6
Jonny Bairstow,108,48,225.00,Kolkata Knight Riders,8,9
Ruturaj Gaikwad,108,60,180.00,Lucknow Super Giants,12,3
Jos Buttler,107,60,178.33,Kolkata Knight Riders,9,6
Rohit Sharma,105,63,166.67,Chennai Super Kings,11,5
Shubman Gill,104,55,189.09,Chennai Super Kings,9,6
Yashasvi Jaiswal,104,60,173.33,Mumbai Indians,9,7
Sai Sudharsan,103,51,201.96,Chennai Super Kings,5,7
Travis Head,102,41,248.78,Royal Challengers Bengaluru,9,8
Suryakumar Yadav,102,51,200.00,Sunrisers Hyderabad,12,6
Will Jacks,100,41,243.90,Gujarat Titans,5,10
Jos Buttler,100,58,172.41,Royal Challengers Bengaluru,9,4
Ruturaj Gaikwad,98,54,181.48,Sunrisers Hyderabad,10,3
