Batter,MATCHES,INNS,RUNS,6s
Glenn Maxwell,16,16,552,36
Dwayne Smith,16,16,566,34
Yuvraj Singh,14,14,376,28
David Warner,14,14,528,24
AB de Villiers,14,13,395,24
David Miller,16,16,446,21
Jean-Paul Duminy,14,14,410,20
MS Dhoni,16,15,371,20
Yusuf Pathan,15,12,268,20
Suresh Raina,16,16,523,19
Brendon McCullum,14,14,405,19
Robin Uthappa,16,16,660,18
Virender Sehwag,17,17,455,18
Wriddhiman Saha,17,13,362,18
Sanju Samson,13,13,339,17
