Batter,MATCHES,INNS,RUNS,Avg,NO
MS Dhoni,16,15,371,74.20,10
David Hussey,5,4,116,58.00,2
Lendl Simmons,8,8,394,56.29,1
Jean-Paul Duminy,14,14,410,51.25,6
David Warner,14,14,528,48.00,3
James Faulkner,13,12,181,45.25,8
David Miller,16,16,446,44.60,6
Robin Uthappa,16,16,660,44.00,1
Rishi Dhawan,13,6,82,41.00,4
Manan Vohra,8,8,324,40.50,0
Suresh Raina,16,16,523,40.23,3
Naman Ojha,11,10,232,38.67,4
Steven Smith,10,7,147,36.75,3
AB de Villiers,14,13,395,35.91,2
Dwayne Smith,16,16,566,35.38,0
