Batter,MATCHES,INNS,RUNS,4s
Robin Uthappa,16,16,660,74
Virender Sehwag,17,17,455,56
Suresh Raina,16,16,523,51
Dwayne Smith,16,16,566,50
Shikhar Dhawan,14,14,377,49
Glenn Maxwell,16,16,552,48
Lendl Simmons,8,8,394,43
David Warner,14,14,528,39
Ajinkya Rahane,13,12,339,38
Karun Nair,11,11,330,38
Gautam Gambhir,16,16,335,36
Manish Pandey,16,16,401,35
David Miller,16,16,446,34
Kevin Pietersen,11,11,294,34
Wriddhiman Saha,17,13,362,33
