PLAYER,MATCHES,INNS,RUNS,AVG,SR,4s,6s
Robin Uthappa,16,16,660,44.00,137.79,74,18
Dwayne Smith,16,16,566,35.38,136.06,50,34
Glenn Maxwell,16,16,552,34.50,187.76,48,36
David Warner,14,14,528,48.00,140.80,39,24
Suresh Raina,16,16,523,40.23,145.68,51,19
Virender Sehwag,17,17,455,26.76,144.44,56,18
David Miller,16,16,446,44.60,149.16,34,21
Jean-Paul Duminy,14,14,410,51.25,134.43,22,20
Brendon McCullum,14,14,405,31.15,121.62,32,19
Manish Pandey,16,16,401,30.85,117.94,35,10
AB de Villiers,14,13,395,35.91,158.63,26,24
Lendl Simmons,8,8,394,56.29,135.40,43,14
Rohit Sharma,15,15,390,30.00,129.14,31,16
Shikhar Dhawan,14,14,377,29.00,118.18,49,7
Yuvraj Singh,14,14,376,34.18,135.25,22,28
