Batter,RUNS,Balls,SR,Vs,4s,6s
Virender Sehwag,122,58,210.34,Chennai Super Kings,12,8
Wriddhiman Saha,115,55,209.09,Kolkata Knight Riders,10,8
Lendl Simmons,100,61,163.93,Punjab Kings,14,2
Glenn Maxwell,95,43,220.93,Chennai Super Kings,15,2
Glenn Maxwell,95,43,220.93,Sunrisers Hyderabad,5,9
Corey Anderson,95,44,215.91,Rajasthan Royals,9,6
Manish Pandey,94,50,188.00,Punjab Kings,7,6
Glenn Maxwell,90,38,236.84,Chennai Super Kings,6,8
David Warner,90,45,200.00,Chennai Super Kings,12,3
AB de Villiers,89,41,217.07,Sunrisers Hyderabad,6,8
Glenn Maxwell,89,45,197.78,Rajasthan Royals,8,6
Aaron Finch,88,53,166.04,Delhi Capitals,8,4
Suresh Raina,87,25,348.00,Punjab Kings,12,6
Yuvraj Singh,83,38,218.42,Rajasthan Royals,7,7
Robin Uthappa,83,51,162.75,Royal Challengers Bengaluru,10,1
