Batter,MATCHES,INNS,RUNS,90s,50s,H.S
David Warner,14,14,528,1,6,90
Robin Uthappa,16,16,660,0,5,83
Dwayne Smith,16,16,566,0,5,79
Suresh Raina,16,16,523,0,5,87
Glenn Maxwell,16,16,552,3,4,95
David Miller,16,16,446,0,3,66
Brendon McCullum,14,14,405,0,3,71
AB de Villiers,14,13,395,0,3,89
Lendl Simmons,8,8,394,0,3,100
Rohit Sharma,15,15,390,0,3,59
Yuvraj Singh,14,14,376,0,3,83
Ajinkya Rahane,13,12,339,0,3,72
Gautam Gambhir,16,16,335,0,3,69
Karun Nair,11,11,330,0,3,73
Dinesh Karthik,14,14,325,0,3,69
