Bowler,MATCHES,OVERS,WKTS,SR
Dwayne Bravo,18,62.3,32,11.72
Sandeep Sharma,4,16.0,8,12.00
James Faulkner,16,63.1,28,13.54
Dhawal Kulkarni,6,18.4,8,14.00
Wayne Parnell,4,14.5,6,14.83
Mohit Sharma,15,50.4,20,15.20
Vinay Kumar,16,60.1,23,15.70
Mitchell Johnson,17,64.0,24,16.00
Iqbal Abdulla,5,18.5,7,16.14
Mitchell Marsh,9,19.2,7,16.57
Daren Sammy,10,22.2,8,16.75
Kevon Cooper,14,54.0,19,17.05
Ravi Rampaul,10,37.4,13,17.38
Sunil Narine,16,64.0,22,17.45
Harbhajan Singh,19,70.0,24,17.50
