PLAYER,MATCHES,OVERS,BALLS,WKTS,Avg,RUNS,4-FERS,5-FERS
Dwayne Bravo,18,62.3,375,32,15.53,497,1,0
James Faulkner,16,63.1,379,28,15.25,427,0,2
Harbhajan Singh,19,70.0,420,24,19.00,456,0,0
Mitchell Johnson,17,64.0,384,24,19.13,459,0,0
Vinay Kumar,16,60.1,361,23,21.43,493,0,0
Sunil Narine,16,64.0,384,22,15.91,350,2,0
Amit Mishra,17,62.0,372,21,18.76,394,1,0
Mohit Sharma,15,50.4,304,20,16.30,326,0,0
Lasith Malinga,17,65.2,392,20,23.40,468,0,0
Dale Steyn,17,67.5,407,19,20.21,384,0,0
Thisara Perera,16,59.4,358,19,25.16,478,0,0
Kevon Cooper,14,54.0,324,19,23.63,449,0,0
Pragyan Ojha,16,52.2,314,16,23.81,381,0,0
Jacques Kallis,16,53.0,318,16,24.63,394,0,0
Umesh Yadav,16,57.5,347,16,31.75,508,1,0
