Bowler,MATCHES,OVERS,WKTS,Avg
Sandeep Sharma,4,16.0,8,14.88
James Faulkner,16,63.1,28,15.25
Dwayne Bravo,18,62.3,32,15.53
Sunil Narine,16,64.0,22,15.91
Mohit Sharma,15,50.4,20,16.30
Amit Mishra,17,62.0,21,18.76
Dhawal Kulkarni,6,18.4,8,18.88
Harbhajan Singh,19,70.0,24,19.00
Mitchell Johnson,17,64.0,24,19.13
Ravi Rampaul,10,37.4,13,20.08
Dale Steyn,17,67.5,19,20.21
Iqbal Abdulla,5,18.5,7,20.29
Karn Sharma,13,34.5,11,20.91
Daren Sammy,10,22.2,8,21.00
Vinay Kumar,16,60.1,23,21.43
