Bowler,MATCHES,OVERS,INNS,WKTS,Eco,Avg,SR
Sunil Narine,16,64.0,16,22,5.47,15.91,17.45
Dale Steyn,17,67.5,17,19,5.66,20.21,21.42
Shahbaz Nadeem,12,44.0,12,9,5.89,28.78,29.33
Amit Mishra,17,62.0,17,21,6.35,18.76,17.71
Mohit Sharma,15,50.4,15,20,6.43,16.30,15.20
Harbhajan Singh,19,70.0,19,24,6.51,19.00,17.50
Bhuvneshwar Kumar,16,57.0,16,13,6.51,28.54,26.31
Sachithra Senanayake,8,32.0,8,9,6.53,23.22,21.33
Karn Sharma,13,34.5,13,11,6.60,20.91,19.00
Praveen Kumar,15,56.2,15,12,6.62,31.08,28.17
Ravichandran Ashwin,18,58.0,18,15,6.72,26.00,23.20
James Faulkner,16,63.1,16,28,6.76,15.25,13.54
Siddharth Trivedi,17,59.5,17,12,6.85,34.17,29.92
Rahul Sharma,11,41.0,11,9,6.85,31.22,27.33
Ravi Rampaul,10,37.4,10,13,6.93,20.08,17.38
