Bowler,Vs,OVS,RUNS,WKTS,BBI,MAIDENS,ECON
James Faulkner,Sunrisers Hyderabad,4.0,16,5,5-16,1,4.00
James Faulkner,Sunrisers Hyderabad,4.0,20,5,5-20,0,5.00
Jaydev Unadkat,Delhi Capitals,4.0,25,5,5-25,0,6.25
Sunil Narine,Delhi Capitals,4.0,13,4,4-13,0,3.25
Zaheer Khan,Chennai Super Kings,2.0,17,4,4-17,0,8.50
Amit Mishra,Pune Warriors,4.0,19,4,4-19,0,4.75
Daren Sammy,Punjab Kings,4.0,22,4,4-22,0,5.50
Sunil Narine,Royal Challengers Bengaluru,4.0,22,4,4-22,0,5.50
Umesh Yadav,Rajasthan Royals,4.0,24,4,4-24,0,6.00
Dwayne Bravo,Mumbai Indians,4.0,42,4,4-42,0,10.50
Dwayne Bravo,Mumbai Indians,3.0,9,3,3-9,0,3.00
Mohit Sharma,Delhi Capitals,3.0,10,3,3-10,0,3.33
Dale Steyn,Pune Warriors,3.5,11,3,3-11,0,3.14
Pragyan Ojha,Chennai Super Kings,2.2,11,3,3-11,0,5.00
Jacques Kallis,Sunrisers Hyderabad,4.0,13,3,3-13,0,3.25
