Bowler,Vs,OVS,RUNS,WKTS,BBI,MAIDENS,ECON
Varun Chakaravarthy,Delhi Capitals,4.0,20,5,5-20,0,5.00
Jasprit Bumrah,Delhi Capitals,4.0,14,4,4-14,1,3.50
Trent Boult,Chennai Super Kings,4.0,18,4,4-18,1,4.50
Jasprit Bumrah,Rajasthan Royals,4.0,20,4,4-20,0,5.00
Kagiso Rabada,Royal Challengers Bengaluru,4.0,24,4,4-24,0,6.00
Chris Morris,Rajasthan Royals,4.0,26,4,4-26,0,6.50
Kagiso Rabada,Sunrisers Hyderabad,4.0,29,4,4-29,0,7.25
Pat Cummins,Rajasthan Royals,4.0,34,4,4-34,0,8.50
Rashid Khan,Delhi Capitals,4.0,7,3,3-7,0,1.75
Mohammed Siraj,Kolkata Knight Riders,4.0,8,3,3-8,2,2.00
Rashid Khan,Punjab Kings,4.0,12,3,3-12,1,3.00
Jasprit Bumrah,Royal Challengers Bengaluru,4.0,14,3,3-14,1,3.50
Rashid Khan,Delhi Capitals,4.0,14,3,3-14,0,3.50
Mohammed Shami,Delhi Capitals,4.0,15,3,3-15,0,3.75
Lockie Ferguson,Sunrisers Hyderabad,4.0,15,3,3-15,0,3.75
