Bowler,MATCHES,OVERS,WKTS,Avg
Jasprit Bumrah,15,60.0,27,14.96
Jason Holder,7,28.0,14,16.64
Rashid Khan,16,64.0,20,17.20
Jofra Archer,14,55.4,20,18.25
Kagiso Rabada,17,65.4,30,18.27
Trent Boult,15,57.2,25,18.28
Lungi Ngidi,4,16.0,9,18.56
Chris Morris,9,31.4,11,19.09
Yuzvendra Chahal,15,57.1,21,19.29
Varun Chakaravarthy,13,52.0,17,20.94
Mohammed Siraj,9,27.1,11,21.45
Marcus Stoinis,17,29.4,13,21.77
Mohammed Shami,14,53.4,20,23.00
Anrich Nortje,16,61.0,22,23.27
Murugan Ashwin,9,31.3,10,23.50
