Bowler,MATCHES,OVERS,INNS,WKTS,Eco,Avg,SR
Rashid Khan,16,64.0,16,20,5.38,17.20,19.20
Washington Sundar,15,50.0,15,8,5.96,37.25,37.50
Axar Patel,15,51.0,15,9,6.41,36.33,34.00
Jofra Archer,14,55.4,14,20,6.56,18.25,16.70
Chris Morris,9,31.4,9,11,6.63,19.09,17.27
Jasprit Bumrah,15,60.0,15,27,6.73,14.96,13.33
Varun Chakaravarthy,13,52.0,13,17,6.85,20.94,18.35
Yuzvendra Chahal,15,57.1,15,21,7.08,19.29,16.33
Rahul Tewatia,14,46.0,14,10,7.09,32.60,27.60
Sandeep Sharma,13,52.0,13,14,7.19,26.71,22.29
Ravi Bishnoi,14,51.0,14,12,7.37,31.33,25.50
Murugan Ashwin,9,31.3,9,10,7.46,23.50,18.90
Lockie Ferguson,5,19.5,5,6,7.46,24.67,19.83
Deepak Chahar,14,52.0,14,12,7.62,33.00,26.00
Ravichandran Ashwin,15,51.0,15,13,7.67,30.08,23.54
