Bowler,MATCHES,OVERS,WKTS,SR
Lungi Ngidi,4,16.0,9,10.67
Jason Holder,7,28.0,14,12.00
Kagiso Rabada,17,65.4,30,13.13
Jasprit Bumrah,15,60.0,27,13.33
Marcus Stoinis,17,29.4,13,13.69
Trent Boult,15,57.2,25,13.76
Mohammed Siraj,9,27.1,11,14.82
Mohammed Shami,14,53.4,20,16.10
Yuzvendra Chahal,15,57.1,21,16.33
Arshdeep Singh,8,24.5,9,16.56
Anrich Nortje,16,61.0,22,16.64
Jofra Archer,14,55.4,20,16.70
Chris Morris,9,31.4,11,17.27
Shivam Mavi,8,26.0,9,17.33
Andre Russell,10,18.0,6,18.00
