PLAYER,MATCHES,OVERS,BALLS,WKTS,Avg,RUNS,4-FERS,5-FERS
Kagiso Rabada,17,65.4,394,30,18.27,548,2,0
Jasprit Bumrah,15,60.0,360,27,14.96,404,2,0
Trent Boult,15,57.2,344,25,18.28,457,1,0
Anrich Nortje,16,61.0,366,22,23.27,512,0,0
Yuzvendra Chahal,15,57.1,343,21,19.29,405,0,0
Rashid Khan,16,64.0,384,20,17.20,344,0,0
Jofra Archer,14,55.4,334,20,18.25,365,0,0
Mohammed Shami,14,53.4,322,20,23.00,460,0,0
Varun Chakaravarthy,13,52.0,312,17,20.94,356,0,1
T Natarajan,16,62.5,377,16,31.50,504,0,0
Rahul Chahar,15,53.0,318,15,28.87,433,0,0
Sandeep Sharma,13,52.0,312,14,26.71,374,0,0
Jason Holder,7,28.0,168,14,16.64,233,0,0
Ravichandran Ashwin,15,51.0,306,13,30.08,391,0,0
Sam Curran,14,42.0,252,13,26.46,344,0,0
