Bowler,MATCHES,Overs,RUNS,WKTS,4-FERS,5-FERS
Yuzvendra Chahal,17,68.0,527,27,1,1
Wanindu Hasaranga,16,57.0,430,26,1,1
Umran Malik,14,49.1,444,22,1,1
Jasprit Bumrah,14,53.2,383,15,0,1
