Bowler,Vs,OVS,RUNS,WKTS,BBI,MAIDENS,ECON
Jasprit Bumrah,Kolkata Knight Riders,4.0,10,5,5-10,1,2.50
Wanindu Hasaranga,Sunrisers Hyderabad,4.0,18,5,5-18,1,4.50
Umran Malik,Gujarat Titans,4.0,25,5,5-25,0,6.25
Yuzvendra Chahal,Kolkata Knight Riders,4.0,40,5,5-40,0,10.00
Andre Russell,Gujarat Titans,1.0,5,4,4-5,0,5.00
Kuldeep Yadav,Kolkata Knight Riders,3.0,14,4,4-14,0,4.67
Mohsin Khan,Delhi Capitals,4.0,16,4,4-16,0,4.00
Wanindu Hasaranga,Kolkata Knight Riders,4.0,20,4,4-20,0,5.00
Kuldeep Sen,Royal Challengers Bengaluru,3.3,20,4,4-20,0,6.06
Umesh Yadav,Punjab Kings,4.0,23,4,4-23,1,5.75
Avesh Khan,Sunrisers Hyderabad,4.0,24,4,4-24,0,6.00
Rashid Khan,Lucknow Super Giants,3.5,24,4,4-24,0,6.86
Josh Hazlewood,Lucknow Super Giants,4.0,25,4,4-25,0,6.25
Lockie Ferguson,Delhi Capitals,4.0,28,4,4-28,0,7.00
Umran Malik,Punjab Kings,4.0,28,4,4-28,1,7.00
