Bowler,MATCHES,OVERS,WKTS,SR
Ramandeep Singh,5,6.0,6,6.00
Andre Russell,14,28.1,17,9.94
Kagiso Rabada,13,48.0,23,12.52
Dwayne Bravo,10,34.2,16,12.88
Wanindu Hasaranga,16,57.0,26,13.15
Umran Malik,14,49.1,22,13.41
Josh Hazlewood,12,46.3,20,13.95
Obed McCoy,7,25.5,11,14.09
Mohsin Khan,9,33.0,14,14.14
Kuldeep Yadav,14,49.4,21,14.19
T Natarajan,11,43.0,18,14.33
Khaleel Ahmed,10,39.1,16,14.69
Anrich Nortje,6,22.2,9,14.89
Tim Southee,9,35.0,14,15.00
Odean Smith,6,15.0,6,15.00
