Bowler,MATCHES,OVERS,INNS,WKTS,Eco,Avg,SR
Sunil Narine,14,56.0,14,9,5.57,34.67,37.33
Mohsin Khan,9,33.0,9,14,5.97,14.07,14.14
Rashid Khan,16,63.5,16,19,6.60,22.16,20.16
Moeen Ali,10,23.5,10,8,6.63,19.75,17.88
Krunal Pandya,14,38.0,12,10,6.97,26.50,22.80
Umesh Yadav,12,48.0,12,16,7.06,21.19,18.00
Jasprit Bumrah,14,53.2,14,15,7.18,25.53,21.33
Bhuvneshwar Kumar,14,52.1,14,12,7.34,31.92,26.08
Maheesh Theekshana,9,35.0,9,12,7.46,21.75,17.50
Ravichandran Ashwin,17,67.0,17,12,7.51,41.92,33.50
Wanindu Hasaranga,16,57.0,16,26,7.54,16.54,13.15
Harshal Patel,15,53.3,15,19,7.66,21.58,16.89
Arshdeep Singh,14,50.0,14,10,7.70,38.50,30.00
Rahul Chahar,13,46.4,13,14,7.71,25.71,20.00
Yuzvendra Chahal,17,68.0,17,27,7.75,19.52,15.11
