Bowler,MATCHES,OVERS,WKTS,Avg
Ramandeep Singh,5,6.0,6,9.00
Mohsin Khan,9,33.0,14,14.07
Andre Russell,14,28.1,17,16.35
Wanindu Hasaranga,16,57.0,26,16.54
Kagiso Rabada,13,48.0,23,17.65
Dwayne Bravo,10,34.2,16,18.69
Josh Hazlewood,12,46.3,20,18.85
Yuzvendra Chahal,17,68.0,27,19.52
Tim Southee,9,35.0,14,19.64
Khaleel Ahmed,10,39.1,16,19.69
Moeen Ali,10,23.5,8,19.75
Kuldeep Yadav,14,49.4,21,19.95
Jagadeesha Suchith,5,18.0,7,20.00
Ravisrinivasan Sai Kishore,5,16.0,6,20.17
Umran Malik,14,49.1,22,20.18
