Batter,MATCHES,INNS,RUNS,Avg,NO
Manish Pandey,5,4,168,84.00,2
Morne van Wyk,5,5,167,55.67,2
Matthew Hayden,12,12,572,52.00,1
AB de Villiers,15,13,465,51.67,4
Tillakaratne Dilshan,14,13,418,41.80,3
MS Dhoni,14,13,332,41.50,5
Jean-Paul Duminy,13,12,372,41.33,3
Brad Hodge,12,12,365,40.56,3
Mahela Jayawardene,10,10,219,36.50,4
Dinesh Karthik,15,13,288,36.00,5
Andrew Symonds,8,8,249,35.57,1
Herschelle Gibbs,14,14,371,33.73,3
Sachin Tendulkar,13,13,364,33.09,2
Ajit Agarkar,11,7,66,33.00,5
Ross Taylor,11,11,280,31.11,2
