Batter,MATCHES,INNS,RUNS,Avg,SR
Wriddhiman Saha,8,7,72,24.00,175.61
David Hussey,4,4,98,24.50,166.10
Dwayne Smith,8,8,215,26.88,162.88
Harbhajan Singh,13,10,84,10.50,158.49
Adam Gilchrist,16,16,495,30.94,152.31
Andrew Symonds,8,8,249,35.57,150.00
Matthew Hayden,12,12,572,52.00,144.81
Virender Sehwag,11,11,198,19.80,143.48
Manish Pandey,5,4,168,84.00,142.37
Praveen Kumar,13,8,65,13.00,141.30
Suresh Raina,14,14,434,31.00,140.91
Albie Morkel,12,10,97,24.25,138.57
Ross Taylor,11,11,280,31.11,134.62
Yusuf Pathan,13,13,243,20.25,132.79
Mahela Jayawardene,10,10,219,36.50,132.73
