PLAYER,MATCHES,INNS,RUNS,AVG,SR,4s,6s
Matthew Hayden,12,12,572,52.00,144.81,60,22
Adam Gilchrist,16,16,495,30.94,152.31,54,29
AB de Villiers,15,13,465,51.67,130.99,39,12
Suresh Raina,14,14,434,31.00,140.91,37,21
Tillakaratne Dilshan,14,13,418,41.80,122.58,42,13
Jean-Paul Duminy,13,12,372,41.33,114.46,26,11
Herschelle Gibbs,14,14,371,33.73,112.08,32,12
Brad Hodge,12,12,365,40.56,117.74,34,9
Sachin Tendulkar,13,13,364,33.09,120.13,39,10
Rohit Sharma,16,16,362,27.85,114.92,22,18
Jacques Kallis,15,15,361,27.77,108.73,37,8
Yuvraj Singh,14,14,340,28.33,115.65,25,16
Kumar Sangakkara,14,13,332,30.18,102.47,29,5
MS Dhoni,14,13,332,41.50,127.20,22,9
Ravindra Jadeja,13,13,295,26.82,110.90,21,6
