Batter,MATCHES,INNS,RUNS,4s
Matthew Hayden,12,12,572,60
Adam Gilchrist,16,16,495,54
Tillakaratne Dilshan,14,13,418,42
AB de Villiers,15,13,465,39
Sachin Tendulkar,13,13,364,39
Suresh Raina,14,14,434,37
Jacques Kallis,15,15,361,37
Brad Hodge,12,12,365,34
Herschelle Gibbs,14,14,371,32
Gautam Gambhir,15,15,286,32
Kumar Sangakkara,14,13,332,29
Rahul Dravid,13,12,271,28
Brendon McCullum,13,13,285,27
Graeme Smith,12,12,212,27
Jean-Paul Duminy,13,12,372,26
