Batter,RUNS,Balls,SR,Vs,4s,6s
Manish Pandey,114,73,156.16,Deccan Chargers,10,4
AB de Villiers,105,54,194.44,Chennai Super Kings,5,6
Suresh Raina,98,55,178.18,Rajasthan Royals,10,5
Matthew Hayden,89,58,153.45,Punjab Kings,8,6
Adam Gilchrist,85,35,242.86,Delhi Capitals,10,5
Ravi Bopara,84,59,142.37,Royal Challengers Bengaluru,4,5
Brendon McCullum,84,64,131.25,Royal Challengers Bengaluru,10,2
Ross Taylor,81,33,245.45,Kolkata Knight Riders,7,5
Brendon McCullum,81,48,168.75,Chennai Super Kings,11,3
AB de Villiers,79,55,143.64,Rajasthan Royals,8,1
Graeme Smith,77,44,175.00,Punjab Kings,12,1
Morne van Wyk,74,48,154.17,Delhi Capitals,11,0
Brad Hodge,73,60,121.67,Mumbai Indians,5,3
Brad Hodge,71,44,161.36,Chennai Super Kings,4,4
Adam Gilchrist,71,45,157.78,Royal Challengers Bengaluru,6,5
