Batter,MATCHES,INNS,RUNS,Avg,SR
Andre Russell,13,11,326,36.22,192.90
Hardik Pandya,9,8,112,22.40,180.65
AB de Villiers,16,14,513,46.64,175.09
Chris Morris,11,7,76,38.00,165.22
Kieron Pollard,16,14,419,38.09,163.67
Ravichandran Ashwin,14,6,52,17.33,162.50
Harbhajan Singh,15,10,117,16.71,160.27
Deepak Hooda,14,9,151,16.78,158.95
Pawan Negi,10,9,116,14.50,158.90
Ashish Reddy,6,5,73,24.33,158.70
Quinton de Kock,3,3,122,40.67,158.44
Mandeep Singh,14,9,157,22.43,157.00
David Warner,14,14,562,43.23,156.55
Sarfaraz Khan,13,8,111,27.75,156.34
Brendon McCullum,14,14,436,33.54,155.71
