Batter,MATCHES,INNS,RUNS,4s
David Warner,14,14,562,65
AB de Villiers,16,14,513,60
Lendl Simmons,13,13,540,56
Ajinkya Rahane,14,13,540,53
Dwayne Smith,16,16,399,52
Brendon McCullum,14,14,436,51
Parthiv Patel,14,14,339,47
Shikhar Dhawan,14,14,353,45
Robin Uthappa,13,13,364,42
Rohit Sharma,16,16,482,41
Shreyas Iyer,14,14,439,41
Gautam Gambhir,13,13,327,41
Chris Gayle,14,14,491,39
Faf du Plessis,17,15,380,37
Shane Watson,10,9,347,37
